Query,Run,ExecutionTime_ms,MongoMemoryUsed_KB,NumDocs
Q1_top_artists_by_avg_pop,1,6832.18609100004,414752.0,20
Q1_top_artists_by_avg_pop,2,6388.110342006257,428220.0,20
Q1_top_artists_by_avg_pop,3,6282.099634001497,428292.0,20
Q1_top_artists_by_avg_pop,4,6281.68449500663,428352.0,20
Q1_top_artists_by_avg_pop,5,6332.5800599996,428584.0,20
Q1_top_artists_by_avg_pop,6,6452.279640994675,427520.0,20
Q2_eminem_solo_tracks,1,42.6410020008916,427644.0,50
Q2_eminem_solo_tracks,2,33.83207799925003,427644.0,50
Q2_eminem_solo_tracks,3,30.23808899888536,427644.0,50
Q2_eminem_solo_tracks,4,31.601227005012333,427648.0,50
Q2_eminem_solo_tracks,5,28.60515099746408,427648.0,50
Q2_eminem_solo_tracks,6,31.951912998920307,427648.0,50
Q3_top_genre_per_year,1,120000.0,474340.0,0
Q3_top_genre_per_year,2,120000.0,474384.0,0
Q3_top_genre_per_year,3,120000.0,474768.0,0
Q3_top_genre_per_year,4,120000.0,474796.0,0
Q3_top_genre_per_year,5,120000.0,474800.0,0
Q3_top_genre_per_year,6,120000.0,474808.0,0
