Query,Run,ExecutionTime_ms,MongoMemoryUsed_KB,NumDocs
Q1_top_artists_by_avg_pop,1,6288.715102004062,509512.0,20
Q1_top_artists_by_avg_pop,2,6380.770837997261,509548.0,20
Q1_top_artists_by_avg_pop,3,6387.899601002573,509572.0,20
Q1_top_artists_by_avg_pop,4,6380.106017000799,509572.0,20
Q1_top_artists_by_avg_pop,5,6504.747218001285,509588.0,20
Q1_top_artists_by_avg_pop,6,6393.313029999263,509588.0,20
Q2_eminem_solo_tracks,1,28.354752001177985,509588.0,50
Q2_eminem_solo_tracks,2,26.794867997523397,509588.0,50
Q2_eminem_solo_tracks,3,25.99735200055875,509588.0,50
Q2_eminem_solo_tracks,4,26.321425997593906,509588.0,50
Q2_eminem_solo_tracks,5,26.965735996782314,509588.0,50
Q2_eminem_solo_tracks,6,26.18647599592805,509588.0,50
Q3_top_genre_per_year,1,21983.6266850034,525516.0,95
Q3_top_genre_per_year,2,21987.07502799516,525548.0,95
Q3_top_genre_per_year,3,21962.68501200393,525560.0,95
Q3_top_genre_per_year,4,22023.186482998426,527264.0,95
Q3_top_genre_per_year,5,21932.484033000947,527308.0,95
Q3_top_genre_per_year,6,22012.421817002178,527308.0,95
