Query,Run,ExecutionTime_ms,MySQLMemoryUsed_KB
Q1,1,3955.2471749775577,327928.0
Q1,2,3902.4147820018698,327928.0
Q1,3,3776.0689040005673,327936.0
Q1,4,3825.3417870146222,327936.0
Q1,5,3868.4135350049473,327948.0
Q1,6,3895.922509022057,327952.0
Q2,1,1346.0053529997822,328260.0
Q2,2,1273.612928984221,328260.0
Q2,3,1253.855315997498,328260.0
Q2,4,1267.7608709782362,328260.0
Q2,5,1270.8935079863295,328260.0
Q2,6,1248.953898990294,328260.0
Q3,1,26406.992256990634,328268.0
Q3,2,10449.321360007161,325656.0
Q3,3,10457.67169399187,325660.0
Q3,4,10559.147596010007,325676.0
Q3,5,10454.622497025412,325696.0
Q3,6,10476.886452990584,325708.0
