Query,Run,ExecutionTime_ms,MySQLMemoryUsed_KB
Q1,1,4154.536919988459,341640.0
Q1,2,4173.462356993696,341640.0
Q1,3,4210.507761017652,341640.0
Q1,4,4270.108289987547,341640.0
Q1,5,4229.680375981843,341640.0
Q1,6,4284.572108008433,341640.0
Q2,1,1358.2339940185193,341640.0
Q2,2,1277.7495019836351,341640.0
Q2,3,1260.513360000914,341640.0
Q2,4,1255.7016150094569,341640.0
Q2,5,1264.7691730235238,341640.0
Q2,6,1262.0611930033192,341640.0
Q3,1,9110.936634999234,341640.0
Q3,2,8890.396667993627,341640.0
Q3,3,8921.769459993811,341640.0
Q3,4,9017.425224010367,341640.0
Q3,5,8979.776768013835,341640.0
Q3,6,8934.795428998768,341640.0
